resourceId,datArchive,resourceType,unrealAssetPath,referencingLayout,layoutName,referencingElement,notes
"0x060012AA","client_portal.dat","Image","AC_UI_Icon_060012AA","0x2100000C","classic_salvage","RootSalvage_Field/CloseSalvagePanelButton",""
"0x060012AA","client_portal.dat","Image","AC_UI_Icon_060012AA","0x2100000D","classic_securetrade","RootSecureTrade_Field/CloseSecureTradeButton",""
"0x060012AA","client_portal.dat","Image","AC_UI_Icon_060012AA","0x2100000E","classic_slumlord","RootSlumlord_Field/CloseSlumlordButton",""
"0x060012AA","client_portal.dat","Image","AC_UI_Icon_060012AA","0x21000012","classic_vendor","RootVendor_Field/CloseVendorPanelButton",""
"0x060012B1","client_portal.dat","Image","AC_UI_Icon_060012B1","0x21000043","","Menu_Vendor/Menu_Vendor_SelectionWidget",""
"0x060012B1","client_portal.dat","Image","AC_UI_Icon_060012B1","0x21000043","","Menu_Vendor/Menu_Vendor_SelectionWidget",""
"0x060012B1","client_portal.dat","Image","AC_UI_Icon_060012B1","0x21000043","","Menu_OptionUI/Menu_OptionUI_SelectionWidget",""
"0x060012B1","client_portal.dat","Image","AC_UI_Icon_060012B1","0x21000043","","Menu_OptionUI/Menu_OptionUI_SelectionWidget",""
"0x060012B2","client_portal.dat","Image","AC_UI_Icon_060012B2","0x21000043","","Menu_Vendor/Menu_Vendor_SelectionWidget",""
"0x060012B2","client_portal.dat","Image","AC_UI_Icon_060012B2","0x21000043","","Menu_Vendor/Menu_Vendor_SelectionWidget",""
"0x060012B2","client_portal.dat","Image","AC_UI_Icon_060012B2","0x21000043","","Menu_OptionUI/Menu_OptionUI_SelectionWidget",""
"0x060012B2","client_portal.dat","Image","AC_UI_Icon_060012B2","0x21000043","","Menu_OptionUI/Menu_OptionUI_SelectionWidget",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_OptionUI_PopupItem",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_OptionUI_PopupItem",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_Vendor/Menu_Vendor_SelectionDisplay",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_Vendor_PopupItem",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_Vendor_PopupItem",""
"0x060012B3","client_portal.dat","Image","AC_UI_Icon_060012B3","0x21000043","","Menu_OptionUI/Menu_OptionUI_SelectionDisplay",""
"0x060012B4","client_portal.dat","Image","AC_UI_Icon_060012B4","0x21000043","","Menu_OptionUI_PopupItem",""
"0x060012B4","client_portal.dat","Image","AC_UI_Icon_060012B4","0x21000043","","Menu_Vendor_PopupItem",""
"0x060012B8","client_portal.dat","Image","AC_UI_Icon_060012B8","0x21000012","classic_vendor","VendorBuyButtonSmall",""
"0x060012B8","client_portal.dat","Image","AC_UI_Icon_060012B8","0x21000012","classic_vendor","VendorSellButtonSmall",""
"0x060012B9","client_portal.dat","Image","AC_UI_Icon_060012B9","0x21000012","classic_vendor","VendorBuyButtonSmall",""
"0x060012BA","client_portal.dat","Image","AC_UI_Icon_060012BA","0x21000012","classic_vendor","VendorBuyButtonSmall",""
"0x060012BB","client_portal.dat","Image","AC_UI_Icon_060012BB","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Bottom",""
"0x060012BB","client_portal.dat","Image","AC_UI_Icon_060012BB","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Bottom",""
"0x060012BB","client_portal.dat","Image","AC_UI_Icon_060012BB","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Bottom",""
"0x060012BC","client_portal.dat","Image","AC_UI_Icon_060012BC","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Left",""
"0x060012BC","client_portal.dat","Image","AC_UI_Icon_060012BC","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Left",""
"0x060012BC","client_portal.dat","Image","AC_UI_Icon_060012BC","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Left",""
"0x060012BC","client_portal.dat","Image","AC_UI_Icon_060012BC","0x2100002B","classic_options","RootOptions_Field/left_edge",""
"0x060012BD","client_portal.dat","Image","AC_UI_Icon_060012BD","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Right",""
"0x060012BD","client_portal.dat","Image","AC_UI_Icon_060012BD","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Right",""
"0x060012BD","client_portal.dat","Image","AC_UI_Icon_060012BD","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Right",""
"0x060012C3","client_portal.dat","Image","AC_UI_Icon_060012C3","0x2100001C","classic_examination","BasicCreatureAttributeInfo_Template",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider_RightEnd",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider_RightEnd_Middle",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider_RightEnd_Lower",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Divider_RightEnd",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_LowerDivider_RightEnd",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Divider_RightEnd",""
"0x060012C4","client_portal.dat","Image","AC_UI_Icon_060012C4","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Divider_RightEnd_Lower",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider_Middle",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground_Divider_Lower",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_LowerDivider",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Divider",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Divider",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Divider_Lower",""
"0x060012C5","client_portal.dat","Image","AC_UI_Icon_060012C5","0x2100002B","classic_options","OptionSeperatorTemplate",""
"0x060012C6","client_portal.dat","Image","AC_UI_Icon_060012C6","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Divider_Vertical",""
"0x060012C6","client_portal.dat","Image","AC_UI_Icon_060012C6","0x2100006B","classic_floatyexamination","RootFloatyExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground_Divider_Vertical",""
"0x060012D9","client_portal.dat","Image","AC_UI_Icon_060012D9","0x21000037","ItemSlot","ItemSlot_GenericOverlays/ItemSlot_Icon_SellState",""
"0x06001343","client_portal.dat","Image","AC_UI_Icon_06001343","0x21000000","patch","PatchField/TitleImage",""
"0x06001354","client_portal.dat","Image","AC_UI_Icon_06001354","0x2100000A","classic_powerbar","RootPowerbar_Field/Powerbar/2",""
"0x06001354","client_portal.dat","Image","AC_UI_Icon_06001354","0x21000072","classic_floatypowerbar","RootFloatyPowerBar_Field/Powerbar/2",""
"0x0600135C","client_portal.dat","Image","AC_UI_Icon_0600135C","0x21000015","classic_indicators","RootIndicators_Field/BurdenIndicator",""
"0x06001360","client_portal.dat","Image","AC_UI_Icon_06001360","0x21000015","classic_indicators","RootIndicators_Field/LinkStatusIndicator",""
"0x06001361","client_portal.dat","Image","AC_UI_Icon_06001361","0x21000015","classic_indicators","RootIndicators_Field/LinkStatusIndicator",""
"0x06001361","client_portal.dat","Image","AC_UI_Icon_06001361","0x21000015","classic_indicators","RootIndicators_Field/LinkStatusIndicator",""
"0x06001362","client_portal.dat","Image","AC_UI_Icon_06001362","0x21000015","classic_indicators","RootIndicators_Field/LinkStatusIndicator",""
"0x06001392","client_portal.dat","Image","AC_UI_Icon_06001392","0x21000033","classic_spellcomponent","ComponentCategoryEntryTemplate",""
